Namespace(exp_name='exp', model='dgcnn', dataset='nagoya_dataset', batch_size=32, test_batch_size=32, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 2 devices
Valdation 69, loss: 1.589442, validation acc: 0.880137, validation avg acc: 0.876421
Train 70, loss: 1.386051, train acc: 0.982639, train avg acc: 0.982346
Valdation 70, loss: 1.668831, validation acc: 0.856164, validation avg acc: 0.853162
Train 71, loss: 1.387355, train acc: 0.980035, train avg acc: 0.979929
Valdation 71, loss: 1.663279, validation acc: 0.856164, validation avg acc: 0.853941
Train 72, loss: 1.380065, train acc: 0.985243, train avg acc: 0.985231
Valdation 72, loss: 1.608289, validation acc: 0.880137, validation avg acc: 0.876106
Train 73, loss: 1.371291, train acc: 0.988715, train avg acc: 0.988816
Valdation 73, loss: 1.618860, validation acc: 0.869863, validation avg acc: 0.865306
Train 74, loss: 1.366004, train acc: 0.987847, train avg acc: 0.987475
Valdation 74, loss: 1.623865, validation acc: 0.883562, validation avg acc: 0.880875
Train 75, loss: 1.370708, train acc: 0.990451, train avg acc: 0.991205
Valdation 75, loss: 1.635190, validation acc: 0.869863, validation avg acc: 0.869210
Train 76, loss: 1.351858, train acc: 0.992188, train avg acc: 0.992393
Valdation 76, loss: 1.635657, validation acc: 0.866438, validation avg acc: 0.865955
Train 77, loss: 1.351549, train acc: 0.993056, train avg acc: 0.993566
Valdation 77, loss: 1.587195, validation acc: 0.897260, validation avg acc: 0.892946
Train 78, loss: 1.351633, train acc: 0.989583, train avg acc: 0.990025
Valdation 78, loss: 1.620770, validation acc: 0.866438, validation avg acc: 0.864282
Train 79, loss: 1.346936, train acc: 0.989583, train avg acc: 0.989784
Valdation 79, loss: 1.628910, validation acc: 0.873288, validation avg acc: 0.869438
Train 80, loss: 1.366540, train acc: 0.987847, train avg acc: 0.988585
Valdation 80, loss: 1.593353, validation acc: 0.890411, validation avg acc: 0.890042
Train 81, loss: 1.350247, train acc: 0.988715, train avg acc: 0.988622
Valdation 81, loss: 1.647266, validation acc: 0.852740, validation avg acc: 0.847935
Train 82, loss: 1.354382, train acc: 0.990451, train avg acc: 0.990786
Valdation 82, loss: 1.707724, validation acc: 0.849315, validation avg acc: 0.843848
Train 83, loss: 1.348366, train acc: 0.993056, train avg acc: 0.993526
Valdation 83, loss: 1.631679, validation acc: 0.873288, validation avg acc: 0.870234
Train 84, loss: 1.353171, train acc: 0.992188, train avg acc: 0.992201
Valdation 84, loss: 1.618181, validation acc: 0.893836, validation avg acc: 0.891058
Train 85, loss: 1.346622, train acc: 0.989583, train avg acc: 0.990027
Valdation 85, loss: 1.636395, validation acc: 0.869863, validation avg acc: 0.866508
Train 86, loss: 1.364748, train acc: 0.986111, train avg acc: 0.986834
Valdation 86, loss: 1.628104, validation acc: 0.863014, validation avg acc: 0.864906
Train 87, loss: 1.347767, train acc: 0.995660, train avg acc: 0.995777
Valdation 87, loss: 1.750256, validation acc: 0.784247, validation avg acc: 0.782149
Train 88, loss: 1.354369, train acc: 0.990451, train avg acc: 0.990719
Valdation 88, loss: 1.587552, validation acc: 0.866438, validation avg acc: 0.864691
Train 89, loss: 1.336310, train acc: 0.993056, train avg acc: 0.993471
Valdation 89, loss: 1.687072, validation acc: 0.849315, validation avg acc: 0.845460
Train 90, loss: 1.342050, train acc: 0.993056, train avg acc: 0.993171
Valdation 90, loss: 1.626578, validation acc: 0.876712, validation avg acc: 0.872651
Train 91, loss: 1.342762, train acc: 0.990451, train avg acc: 0.990542
