Namespace(exp_name='exp', model='dgcnn', dataset='nagoya_dataset', batch_size=256, test_batch_size=256, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=2048, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 2 devices
Namespace(exp_name='exp', model='dgcnn', dataset='nagoya_dataset', batch_size=256, test_batch_size=256, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=2048, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 2 devices
Namespace(exp_name='exp', model='dgcnn', dataset='nagoya_dataset', batch_size=128, test_batch_size=128, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=2048, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 2 devices
Namespace(exp_name='exp', model='dgcnn', dataset='nagoya_dataset', batch_size=128, test_batch_size=128, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 2 devices
Valdation 64, loss: 1.959863, validation acc: 0.791096, validation avg acc: 0.785329
Train 65, loss: 1.343239, train acc: 0.989583, train avg acc: 0.990245
Valdation 65, loss: 1.741365, validation acc: 0.787671, validation avg acc: 0.777915
Train 66, loss: 1.347582, train acc: 0.990451, train avg acc: 0.990172
Valdation 66, loss: 1.737730, validation acc: 0.839041, validation avg acc: 0.833103
Train 67, loss: 1.340298, train acc: 0.994792, train avg acc: 0.994879
Valdation 67, loss: 1.811441, validation acc: 0.767123, validation avg acc: 0.761834
Train 68, loss: 1.339589, train acc: 0.993056, train avg acc: 0.993453
Valdation 68, loss: 1.733762, validation acc: 0.842466, validation avg acc: 0.836364
Train 69, loss: 1.334749, train acc: 0.995660, train avg acc: 0.996005
Valdation 69, loss: 1.732170, validation acc: 0.821918, validation avg acc: 0.815873
Train 70, loss: 1.332406, train acc: 0.993056, train avg acc: 0.993482
Valdation 70, loss: 1.687646, validation acc: 0.832192, validation avg acc: 0.834339
Train 71, loss: 1.326605, train acc: 0.993924, train avg acc: 0.994279
Valdation 71, loss: 1.741824, validation acc: 0.835616, validation avg acc: 0.838869
Train 72, loss: 1.332722, train acc: 0.993924, train avg acc: 0.994391
Valdation 72, loss: 1.693021, validation acc: 0.859589, validation avg acc: 0.855697
Train 73, loss: 1.326480, train acc: 0.997396, train avg acc: 0.997423
Valdation 73, loss: 1.798338, validation acc: 0.801370, validation avg acc: 0.792996
Train 74, loss: 1.328755, train acc: 0.994792, train avg acc: 0.995223
Valdation 74, loss: 1.896630, validation acc: 0.732877, validation avg acc: 0.724512
Train 75, loss: 1.326337, train acc: 0.993924, train avg acc: 0.994347
Valdation 75, loss: 1.770726, validation acc: 0.828767, validation avg acc: 0.825564
Train 76, loss: 1.330349, train acc: 0.993056, train avg acc: 0.993052
Valdation 76, loss: 1.906893, validation acc: 0.767123, validation avg acc: 0.763345
Train 77, loss: 1.329903, train acc: 0.993924, train avg acc: 0.994290
Valdation 77, loss: 1.701738, validation acc: 0.845890, validation avg acc: 0.847432
Train 78, loss: 1.329723, train acc: 0.993056, train avg acc: 0.993347
Valdation 78, loss: 1.705450, validation acc: 0.863014, validation avg acc: 0.861117
Train 79, loss: 1.323180, train acc: 0.996528, train avg acc: 0.996819
Valdation 79, loss: 1.769073, validation acc: 0.787671, validation avg acc: 0.782045
Train 80, loss: 1.326492, train acc: 0.996528, train avg acc: 0.996616
Valdation 80, loss: 1.734039, validation acc: 0.821918, validation avg acc: 0.815804
Train 81, loss: 1.323264, train acc: 0.994792, train avg acc: 0.995109
