Namespace(exp_name='exp', model='dgcnn', dataset='nagoya_dataset', batch_size=32, test_batch_size=32, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 2 devices
Valdation 88, loss: 2.459382, validation acc: 0.558219, validation avg acc: 0.539946
Train 89, loss: 1.470134, train acc: 0.939236, train avg acc: 0.938972
Valdation 89, loss: 3.065068, validation acc: 0.410959, validation avg acc: 0.390546
Train 90, loss: 1.480076, train acc: 0.939236, train avg acc: 0.938411
Valdation 90, loss: 3.058401, validation acc: 0.417808, validation avg acc: 0.394617
Train 91, loss: 1.482849, train acc: 0.938368, train avg acc: 0.937081
Valdation 91, loss: 2.628931, validation acc: 0.558219, validation avg acc: 0.531984
Train 92, loss: 1.479142, train acc: 0.940104, train avg acc: 0.939818
Valdation 92, loss: 2.571988, validation acc: 0.565068, validation avg acc: 0.545133
Train 93, loss: 1.470135, train acc: 0.940972, train avg acc: 0.940727
Valdation 93, loss: 2.562333, validation acc: 0.578767, validation avg acc: 0.557362
Train 94, loss: 1.489482, train acc: 0.940104, train avg acc: 0.939635
Valdation 94, loss: 2.527802, validation acc: 0.589041, validation avg acc: 0.563106
Train 95, loss: 1.464719, train acc: 0.947049, train avg acc: 0.945461
Valdation 95, loss: 2.654897, validation acc: 0.551370, validation avg acc: 0.530214
Train 96, loss: 1.485232, train acc: 0.934028, train avg acc: 0.932340
Valdation 96, loss: 2.825882, validation acc: 0.476027, validation avg acc: 0.451843
Train 97, loss: 1.470734, train acc: 0.940104, train avg acc: 0.939387
Valdation 97, loss: 2.868128, validation acc: 0.503425, validation avg acc: 0.478034
Train 98, loss: 1.469658, train acc: 0.948785, train avg acc: 0.949350
Valdation 98, loss: 2.607246, validation acc: 0.558219, validation avg acc: 0.539465
Train 99, loss: 1.470547, train acc: 0.939236, train avg acc: 0.938076
Valdation 99, loss: 2.856411, validation acc: 0.530822, validation avg acc: 0.505700
Train 100, loss: 1.468089, train acc: 0.944444, train avg acc: 0.943269
Valdation 100, loss: 2.549256, validation acc: 0.592466, validation avg acc: 0.572459
Train 101, loss: 1.459934, train acc: 0.942708, train avg acc: 0.940496
Valdation 101, loss: 2.861810, validation acc: 0.496575, validation avg acc: 0.474894
Train 102, loss: 1.458851, train acc: 0.947917, train avg acc: 0.946956
Valdation 102, loss: 2.888692, validation acc: 0.472603, validation avg acc: 0.450069
Train 103, loss: 1.449965, train acc: 0.948785, train avg acc: 0.948340
Valdation 103, loss: 3.028098, validation acc: 0.476027, validation avg acc: 0.450634
Train 104, loss: 1.459744, train acc: 0.952257, train avg acc: 0.950625
Valdation 104, loss: 2.424781, validation acc: 0.592466, validation avg acc: 0.573057
Train 105, loss: 1.431996, train acc: 0.957465, train avg acc: 0.956348
Valdation 105, loss: 2.629562, validation acc: 0.561644, validation avg acc: 0.539816
Train 106, loss: 1.438690, train acc: 0.960069, train avg acc: 0.959373
Valdation 106, loss: 2.944464, validation acc: 0.486301, validation avg acc: 0.462381
Train 107, loss: 1.421601, train acc: 0.962674, train avg acc: 0.962562
Valdation 107, loss: 3.076308, validation acc: 0.493151, validation avg acc: 0.464408
Train 108, loss: 1.451799, train acc: 0.945312, train avg acc: 0.942769
Valdation 108, loss: 2.775221, validation acc: 0.496575, validation avg acc: 0.473182
Train 109, loss: 1.449449, train acc: 0.955729, train avg acc: 0.955177
Valdation 109, loss: 2.720108, validation acc: 0.537671, validation avg acc: 0.514392
