Namespace(batch_size=2, dataset='nagoya_dataset', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='exp', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=2, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(batch_size=2, dataset='nagoya_dataset', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='exp', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=2, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(batch_size=2, dataset='nagoya_dataset', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='exp', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=2, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(batch_size=2, dataset='nagoya_dataset', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='exp', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=2, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(batch_size=32, dataset='nagoya_dataset', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='exp', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=32, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(exp_name='exp', model='dgcnn', dataset='nagoya_dataset', batch_size=64, test_batch_size=64, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=2048, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 2 devices
Train 46, loss: 1.422487, train acc: 0.973090, train avg acc: 0.972660
Valdation 46, loss: 1.856625, validation acc: 0.753425, validation avg acc: 0.755095
Train 47, loss: 1.421234, train acc: 0.973958, train avg acc: 0.974165
Valdation 47, loss: 1.880051, validation acc: 0.743151, validation avg acc: 0.744661
Train 48, loss: 1.424027, train acc: 0.973090, train avg acc: 0.972778
Valdation 48, loss: 1.891159, validation acc: 0.732877, validation avg acc: 0.738170
Train 49, loss: 1.404300, train acc: 0.982639, train avg acc: 0.983248
Valdation 49, loss: 1.776688, validation acc: 0.804795, validation avg acc: 0.806787
Train 50, loss: 1.410044, train acc: 0.976562, train avg acc: 0.976907
Valdation 50, loss: 1.900787, validation acc: 0.743151, validation avg acc: 0.730589
Train 51, loss: 1.402571, train acc: 0.977431, train avg acc: 0.978405
Valdation 51, loss: 1.837016, validation acc: 0.791096, validation avg acc: 0.788184
Train 52, loss: 1.408265, train acc: 0.982639, train avg acc: 0.982629
Valdation 52, loss: 1.864192, validation acc: 0.753425, validation avg acc: 0.746496
Train 53, loss: 1.409627, train acc: 0.972222, train avg acc: 0.972612
Valdation 53, loss: 1.833178, validation acc: 0.777397, validation avg acc: 0.783908
Train 54, loss: 1.409633, train acc: 0.977431, train avg acc: 0.977887
Valdation 54, loss: 2.032715, validation acc: 0.729452, validation avg acc: 0.734614
Train 55, loss: 1.396465, train acc: 0.983507, train avg acc: 0.983279
Valdation 55, loss: 1.843418, validation acc: 0.784247, validation avg acc: 0.786457
Train 56, loss: 1.384008, train acc: 0.984375, train avg acc: 0.984664
Valdation 56, loss: 1.809295, validation acc: 0.773973, validation avg acc: 0.765344
Train 57, loss: 1.386260, train acc: 0.982639, train avg acc: 0.983620
Valdation 57, loss: 1.754947, validation acc: 0.797945, validation avg acc: 0.799298
Train 58, loss: 1.378552, train acc: 0.990451, train avg acc: 0.990719
Valdation 58, loss: 1.816314, validation acc: 0.773973, validation avg acc: 0.770334
Train 59, loss: 1.383558, train acc: 0.983507, train avg acc: 0.983874
Valdation 59, loss: 1.769671, validation acc: 0.811644, validation avg acc: 0.807101
Train 60, loss: 1.384710, train acc: 0.983507, train avg acc: 0.983353
Valdation 60, loss: 1.805912, validation acc: 0.794521, validation avg acc: 0.795602
Train 61, loss: 1.366411, train acc: 0.986111, train avg acc: 0.986112
Valdation 61, loss: 1.816159, validation acc: 0.801370, validation avg acc: 0.804119
Train 62, loss: 1.389715, train acc: 0.981771, train avg acc: 0.982730
