Namespace(exp_name='exp', model='dgcnn', dataset='nagoya_dataset', batch_size=64, test_batch_size=64, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 2 devices
Valdation 53, loss: 1.722846, validation acc: 0.839041, validation avg acc: 0.839341
Train 54, loss: 1.382352, train acc: 0.986979, train avg acc: 0.986735
Valdation 54, loss: 1.998016, validation acc: 0.681507, validation avg acc: 0.686587
Train 55, loss: 1.384564, train acc: 0.987847, train avg acc: 0.987661
Valdation 55, loss: 1.665758, validation acc: 0.835616, validation avg acc: 0.845695
Train 56, loss: 1.381606, train acc: 0.986979, train avg acc: 0.987103
Valdation 56, loss: 1.709648, validation acc: 0.835616, validation avg acc: 0.834292
Train 57, loss: 1.370082, train acc: 0.986111, train avg acc: 0.986373
Valdation 57, loss: 1.698172, validation acc: 0.825342, validation avg acc: 0.826176
Train 58, loss: 1.359149, train acc: 0.991319, train avg acc: 0.991888
Valdation 58, loss: 1.671596, validation acc: 0.859589, validation avg acc: 0.861495
Train 59, loss: 1.363828, train acc: 0.992188, train avg acc: 0.992681
Valdation 59, loss: 1.664952, validation acc: 0.839041, validation avg acc: 0.837323
Train 60, loss: 1.367038, train acc: 0.986979, train avg acc: 0.987021
Valdation 60, loss: 1.666626, validation acc: 0.856164, validation avg acc: 0.861219
Train 61, loss: 1.355479, train acc: 0.989583, train avg acc: 0.990235
Valdation 61, loss: 1.748087, validation acc: 0.808219, validation avg acc: 0.809351
Train 62, loss: 1.356386, train acc: 0.988715, train avg acc: 0.989111
Valdation 62, loss: 1.745075, validation acc: 0.811644, validation avg acc: 0.800658
Train 63, loss: 1.365574, train acc: 0.988715, train avg acc: 0.989175
Valdation 63, loss: 1.714566, validation acc: 0.839041, validation avg acc: 0.842748
Train 64, loss: 1.374646, train acc: 0.984375, train avg acc: 0.985331
Valdation 64, loss: 1.655575, validation acc: 0.852740, validation avg acc: 0.851471
Train 65, loss: 1.367152, train acc: 0.990451, train avg acc: 0.990770
Valdation 65, loss: 1.724789, validation acc: 0.839041, validation avg acc: 0.829836
Train 66, loss: 1.357062, train acc: 0.993056, train avg acc: 0.993344
Valdation 66, loss: 1.644608, validation acc: 0.873288, validation avg acc: 0.873941
Train 67, loss: 1.343769, train acc: 0.993056, train avg acc: 0.993536
Valdation 67, loss: 1.663730, validation acc: 0.856164, validation avg acc: 0.857264
Train 68, loss: 1.355542, train acc: 0.989583, train avg acc: 0.989459
Valdation 68, loss: 1.637478, validation acc: 0.866438, validation avg acc: 0.864818
Train 69, loss: 1.346217, train acc: 0.990451, train avg acc: 0.990486
Valdation 69, loss: 1.638445, validation acc: 0.859589, validation avg acc: 0.860010
Train 70, loss: 1.348658, train acc: 0.992188, train avg acc: 0.992282
Valdation 70, loss: 1.777905, validation acc: 0.815068, validation avg acc: 0.820575
Train 71, loss: 1.345659, train acc: 0.993056, train avg acc: 0.993628
Valdation 71, loss: 1.703311, validation acc: 0.811644, validation avg acc: 0.802143
Train 72, loss: 1.339600, train acc: 0.992188, train avg acc: 0.992373
Valdation 72, loss: 1.699363, validation acc: 0.859589, validation avg acc: 0.856417
Train 73, loss: 1.348682, train acc: 0.991319, train avg acc: 0.991791
Valdation 73, loss: 1.687029, validation acc: 0.863014, validation avg acc: 0.862984
Train 74, loss: 1.340145, train acc: 0.992188, train avg acc: 0.992703
Valdation 74, loss: 1.635460, validation acc: 0.876712, validation avg acc: 0.874422
Train 75, loss: 1.354739, train acc: 0.986979, train avg acc: 0.987869
Valdation 75, loss: 1.633293, validation acc: 0.890411, validation avg acc: 0.890222
Train 76, loss: 1.345526, train acc: 0.988715, train avg acc: 0.988643
Valdation 76, loss: 1.636929, validation acc: 0.866438, validation avg acc: 0.866292
Train 77, loss: 1.335717, train acc: 0.994792, train avg acc: 0.995164
Valdation 77, loss: 1.762831, validation acc: 0.794521, validation avg acc: 0.787078
Train 78, loss: 1.339147, train acc: 0.990451, train avg acc: 0.991105
Valdation 78, loss: 1.694844, validation acc: 0.856164, validation avg acc: 0.856625
Train 79, loss: 1.337188, train acc: 0.995660, train avg acc: 0.995932
Valdation 79, loss: 1.659027, validation acc: 0.863014, validation avg acc: 0.864785
Train 80, loss: 1.332144, train acc: 0.995660, train avg acc: 0.995742
Valdation 80, loss: 1.650333, validation acc: 0.856164, validation avg acc: 0.853262
Train 81, loss: 1.326181, train acc: 0.995660, train avg acc: 0.995838
Valdation 81, loss: 1.702157, validation acc: 0.835616, validation avg acc: 0.832657
Train 82, loss: 1.333795, train acc: 0.993056, train avg acc: 0.993513
Valdation 82, loss: 1.799585, validation acc: 0.773973, validation avg acc: 0.774898
Train 83, loss: 1.325564, train acc: 0.996528, train avg acc: 0.996420
Valdation 83, loss: 1.698000, validation acc: 0.832192, validation avg acc: 0.825457
Train 84, loss: 1.333205, train acc: 0.993056, train avg acc: 0.993262
Valdation 84, loss: 1.724525, validation acc: 0.815068, validation avg acc: 0.817354
Train 85, loss: 1.323029, train acc: 0.993056, train avg acc: 0.993306
Valdation 85, loss: 1.627575, validation acc: 0.873288, validation avg acc: 0.870189
Train 86, loss: 1.319426, train acc: 0.996528, train avg acc: 0.996664
Valdation 86, loss: 1.656080, validation acc: 0.880137, validation avg acc: 0.879837
Train 87, loss: 1.321509, train acc: 0.994792, train avg acc: 0.995046
Valdation 87, loss: 1.664624, validation acc: 0.866438, validation avg acc: 0.864946
Train 88, loss: 1.322311, train acc: 0.995660, train avg acc: 0.995890
Valdation 88, loss: 1.649074, validation acc: 0.849315, validation avg acc: 0.852941
Train 89, loss: 1.324423, train acc: 0.995660, train avg acc: 0.995917
Valdation 89, loss: 1.777799, validation acc: 0.801370, validation avg acc: 0.791212
Train 90, loss: 1.328746, train acc: 0.990451, train avg acc: 0.990957
Valdation 90, loss: 1.727809, validation acc: 0.815068, validation avg acc: 0.804764
Train 91, loss: 1.323552, train acc: 0.996528, train avg acc: 0.996696
Valdation 91, loss: 1.776029, validation acc: 0.832192, validation avg acc: 0.833665
Train 92, loss: 1.330307, train acc: 0.993924, train avg acc: 0.994546
Valdation 92, loss: 1.731811, validation acc: 0.828767, validation avg acc: 0.825213
Train 93, loss: 1.320549, train acc: 0.992188, train avg acc: 0.992578
Valdation 93, loss: 1.690572, validation acc: 0.849315, validation avg acc: 0.848095
